N,p,y_max,y_mse,res_max,res_mse
600,0.0,0.0401809092622,0.1803430480020315,0.0885924735561,1.2465034696650772
600,0.0,0.132340790636,12.937286509141744,0.447501824127,172.2858461467027
600,0.0,0.0484759293087,0.25673497413233576,0.106274897778,2.8936023969765534
600,0.0,0.10034013526,1.4205086687708295,0.209984927483,12.348117747367944
600,0.0,0.0691598739708,1.8561964630321406,0.236112822229,21.30491001483427
600,0.0,0.0221216108661,0.06322764935795142,0.0495962635041,0.7353180484330732
600,0.0,0.0472696396039,1.446854524424385,0.283292712269,45.30201340030679
600,0.0,0.0638507966512,0.920049755813461,0.138151701802,9.233864926247085
600,0.0,0.0523170439626,1.2534296557950741,0.207205526509,19.653563018599325
600,0.0,0.0102221760923,0.055548797772991265,0.0818165367701,1.2409054941920237
600,0.25,0.093938671369,0.8799496572313947,0.198124530966,5.925309911699777
600,0.25,0.00948993585941,0.04821264368309429,0.0399551091322,0.8561618464268573
600,0.25,0.0795619269149,2.266997804737043,0.464330361388,26.850256919363403
600,0.25,0.0549800957924,0.264023849452037,0.160178944218,3.2855411301108823
600,0.25,0.0218717719799,0.05024794772880621,0.0492612319399,0.4906917424089599
600,0.25,0.0260502539043,0.03242374599310729,0.218146115392,0.9426218731833177
600,0.25,0.0310290725326,0.10082417545684531,0.0690845872998,0.6320966029108127
600,0.25,0.0120038233165,0.014111242069245373,0.10085783225,0.2680894673716464
600,0.25,0.0160465093165,0.1362842522785682,0.0691323081872,1.3894553342172826
600,0.25,0.0152563295726,0.021867044369475605,0.128086610194,0.5607814590636544
600,0.5,0.0171291075115,0.0619903543429415,0.143745616553,0.7470670677901918
600,0.5,0.0139982524993,0.028682361228437078,0.0318713428638,0.32019475541626186
600,0.5,0.0156275473003,0.03390414838214499,0.131191617163,0.9257244792867179
600,0.5,0.0160976133831,0.04479283895903646,0.0537710906192,0.7587973259649154
600,0.5,0.0173353822326,0.028330493943788577,0.0390491107686,0.2909344491240854
600,0.5,0.0163276955183,0.06807318651503959,0.0384075674604,0.7745743335240912
600,0.5,4.22728671317,14692.318557868051,0.653750536334,2.199763826335355
600,0.5,0.0130760862248,0.06870461276528203,0.0770634468596,1.1309316834280634
600,0.5,0.00342337707325,0.006960974427777603,0.0288224496932,0.19801751702703946
600,0.5,0.00745339403081,0.020453202679797625,0.0223758689081,0.2408421236683556
600,0.75,0.0260422226745,0.13879630268720022,0.0640367427958,1.7397770169604376
600,0.75,0.0117711267833,0.03429755382669711,0.0989081610548,0.4846705702335087
600,0.75,0.0205261788853,0.047562292745401816,0.0662730098181,0.5352912017089552
600,0.75,0.0127701209087,0.06570374888559923,0.0842327372462,0.9403622908854868
600,0.75,0.0416464012381,0.6599129673008985,0.116650401557,5.2450977785063175
600,0.75,0.0348187581796,0.10106195504198025,0.0775691050789,1.103874431181983
600,0.75,4.2269752193,14430.7570038131,0.882974986021,9.555682358428085
600,0.75,0.00975625137134,0.02764871236831761,0.0820172685786,0.6370787991707073
600,0.75,0.0136419859823,0.08585821372501905,0.0656420249205,1.6123521408044028
600,0.75,0.0149938686324,0.03620798269821072,0.0611520716734,0.7949753402277736
600,1.0,0.483151527814,330.2005275836505,2.91988620512,10526.535344210313
600,1.0,4.5530385218,15949.850927558675,3.09573403667,1431.3716679517233
600,1.0,0.326713289608,43.36876086599954,0.722546142107,337.0951020372664
600,1.0,4.35451953033,14657.535298694831,1.23184595404,129.5803814255304
600,1.0,4.35277049164,14346.683824448588,1.21612484207,222.51956856077507
600,1.0,4.43418900589,14250.667184202965,1.96092260263,586.4970399989855
600,1.0,0.108868285215,2.5635479343965297,0.893635894054,64.75038560169764
600,1.0,0.242785771531,53.37663121496224,1.01998378607,964.6987690013415
600,1.0,0.123979254759,10.148184162231697,1.01392608585,162.8935873918905
600,1.0,0.161979166541,24.020978842909592,1.31172855253,948.156020233698
800,0.0,0.372481858867,67.83680174086017,2.60911295694,3011.3617643220955
800,0.0,1.12462554563,65.1447995370132,6.94669805047,2486.0965758970146
800,0.0,0.036487332415,0.1847262267924557,0.0809412514089,2.299185630877325
800,0.0,0.0503244714231,0.3777520872437971,0.109872233618,2.4578697214378296
800,0.0,0.0274863328225,0.10613386516744472,0.103747482206,1.1904277696674912
800,0.0,0.120066407079,3.2044356375800938,0.245846550662,21.466431068900885
800,0.0,0.0661428884954,0.5992670350257716,0.142302177188,3.9491167812873678
800,0.0,0.167039182891,6.551509409322456,0.32833436288,46.74546286997147
800,0.0,0.0360417839151,0.22059970963299336,0.0817753096969,1.6887761101885361
800,0.0,0.0134946714514,0.04707808366170781,0.0311427982291,0.6809072174387943
800,0.25,0.0283729721421,0.09278617157428916,0.0634222877725,0.6626599119290749
